--- Day changed 二  4月 05 2016
00:22  * gugod 正好無法參加...
08:56 < slackbot5> <jpomichael> 怎么加入github  g0v group 呢
09:43 < slackbot5> <au> 一般來說送個 pull request 或在黑客松開個坑就有了
18:00 -!- chihchun_afk is now known as chihchun
18:45 -!- chihchun is now known as chihchun_afk
19:55 -!- chihchun_afk is now known as chihchun
19:56 -!- chihchun is now known as chihchun_afk
21:20 -!- chihchunl is now known as chihchun
21:22 -!- m0rrisc_ is now known as m0rrisc
21:22 -!- alex_lu_ is now known as alex_lu
21:25 -!- clkao_ is now known as clkao
